rank,word,count,fraction
185,seen,827,0.0007345300162538081
186,looks,825,0.0007327536437840286
187,begins,825,0.0007327536437840286
188,word,799,0.0007096608016768956
189,foreground,791,0.0007025553117977778
190,brown,787,0.0006990025668582188
191,lower,774,0.0006874561458046523
192,focused,766,0.0006803506559255345
193,appear,758,0.0006732451660464166
194,wooden,756,0.0006714687935766372
195,below,753,0.000668804234871968
196,be,752,0.0006679160486370783
197,back,748,0.0006643633036975193
198,first,744,0.0006608105587579603
199,hustle,743,0.0006599223725230706
200,photographs,742,0.0006590341862881809
201,some,741,0.0006581460000532912
202,angle,738,0.000655481441348622
203,graphics,736,0.0006537050688788425
204,speak,728,0.0006465995789997247
205,this,726,0.0006448232065299452
206,bright,721,0.0006403822753554965
207,smaller,713,0.0006332767854763787
208,decorated,712,0.000632388599241489
209,jaspys,709,0.0006297240405368198
210,environment,707,0.0006279476680670403
211,holds,705,0.0006261712955972609
212,tie,693,0.000615513060778584
213,such,692,0.0006146248745436943
214,constant,692,0.0006146248745436943
215,where,691,0.0006137366883088046
216,consists,688,0.0006110721296041354
217,which,688,0.0006110721296041354
218,focusing,685,0.0006084075708994662
219,player,682,0.000605743012194797
220,talks,682,0.000605743012194797
221,maintaining,679,0.0006030784534901278
222,near,679,0.0006030784534901278
223,walls,678,0.0006021902672552381
224,centered,675,0.0005995257085505689
225,containing,674,0.0005986375223156792
226,initial,673,0.0005977493360807895
227,podium,671,0.00059597296361101
228,include,666,0.0005915320324365613
229,still,665,0.0005906438462016715
230,they,662,0.0005879792874970024
231,purple,655,0.0005817619838527743
232,smile,654,0.0005808737976178845
233,slide,652,0.0005790974251481051
234,casebreakscom,652,0.0005790974251481051
235,longsleeved,652,0.0005790974251481051
236,image,652,0.0005790974251481051
237,present,646,0.0005737683077387667
238,says,645,0.000572880121503877
239,closeup,641,0.000569327376564318
240,its,633,0.0005622218866852001
