class,ours,openvid,internvid
Rock-paper-scissors,0.010000,0.000000,0.000000
Rollerblading,0.000000,0.010000,0.000000
Roof shingle removal,0.000000,0.000000,0.000000
Rope skipping,0.000000,0.000000,0.000000
Running a marathon,0.003333,0.000000,0.000000
Sailing,0.003333,0.020000,0.050000
Scuba diving,0.000000,0.000000,0.000000
Sharpening knives,0.010000,0.000000,0.000000
Shaving,0.050000,0.020000,0.000000
Shaving legs,0.003333,0.010000,0.000000
Shot put,0.000000,0.000000,0.000000
Shoveling snow,0.000000,0.000000,0.000000
Shuffleboard,0.000000,0.000000,0.000000
Skateboarding,0.000000,0.000000,0.000000
Skiing,0.000000,0.000000,0.000000
Slacklining,0.000000,0.000000,0.000000
Smoking a cigarette,0.000000,0.000000,0.000000
Smoking hookah,0.000000,0.000000,0.000000
Snatch,0.013333,0.030000,0.000000
Snow tubing,0.000000,0.000000,0.000000
Snowboarding,0.000000,0.000000,0.000000
Spinning,0.006667,0.010000,0.000000
Spread mulch,0.023333,0.000000,0.000000
Springboard diving,0.000000,0.000000,0.000000
Starting a campfire,0.000000,0.000000,0.000000
Sumo,0.003333,0.000000,0.050000
Surfing,0.006667,0.000000,0.000000
Swimming,0.003333,0.000000,0.050000
Swinging at the playground,0.000000,0.000000,0.000000
Table soccer,0.000000,0.000000,0.000000
Tai chi,0.010000,0.010000,0.000000
Tango,0.003333,0.010000,0.000000
Tennis serve with ball bouncing,0.000000,0.000000,0.000000
Throwing darts,0.003333,0.000000,0.000000
Trimming branches or hedges,0.003333,0.000000,0.000000
Triple jump,0.000000,0.000000,0.000000
Tug of war,0.016667,0.000000,0.000000
Tumbling,0.003333,0.000000,0.000000
Using parallel bars,0.000000,0.000000,0.000000
Using the balance beam,0.000000,0.000000,0.000000
Using the monkey bar,0.000000,0.000000,0.000000
Using the pommel horse,0.000000,0.000000,0.000000
Using the rowing machine,0.003333,0.000000,0.000000
Using uneven bars,0.000000,0.000000,0.000000
Vacuuming floor,0.006667,0.000000,0.000000
Volleyball,0.000000,0.000000,0.000000
Wakeboarding,0.000000,0.000000,0.000000
Walking the dog,0.003333,0.000000,0.000000
Washing dishes,0.000000,0.010000,0.000000
Washing face,0.000000,0.010000,0.050000
Washing hands,0.003333,0.010000,0.000000
Waterskiing,0.000000,0.000000,0.000000
Waxing skis,0.000000,0.000000,0.000000
Welding,0.016667,0.010000,0.000000
Windsurfing,0.000000,0.000000,0.000000
Wrapping presents,0.030000,0.010000,0.000000
Zumba,0.006667,0.000000,0.000000
