video_id,filename,caption_length_words,score
d5a0c5c1d4c1918f6f9377bbcc3ef8e0,3q3CZaZLMiY-Scene-035.mp4,101,0.278007
7d64029e173a935d219c29bdd3ff4c28,3gZZFVx-9-M-Scene-003.mp4,104,0.151311
c7e54d2e03f0bc729ed9bdbebb0e3ba2,3Smz5pevbI4-Scene-001.mp4,108,0.160550
42f7b5956351db5c0ee3306df45ea721,3QD9oO6sRns-Scene-133.mp4,121,0.244061
f055e3f0b71f525db5ddcabdfe9f890f,3jGOgCF9gjE-Scene-059.mp4,117,0.187400
176420d8703fcc47863664fb503bd8df,3i5-ZukC--g-Scene-017.mp4,112,0.102596
0eeecc4d165914f3dae618f231406283,3ITw3DpGM5k-Scene-299.mp4,130,0.097122
e2ae36d79d9f17f1898bc60bdf765b9e,3Wcw7UNaLks-Scene-265.mp4,107,0.056606
4f0e2951900e0938c032096c3467930d,3_U0zFmzyBM-Scene-011.mp4,132,0.109101
6518a96cb7fcb1400b842986d1bc71d8,3iUTkJy84EY-Scene-214.mp4,116,0.210674
1b8fdbefa346af2ad3f043ac6276ceb6,3q3CZaZLMiY-Scene-262.mp4,106,0.196427
5101f458512668f9ccec390eaa07d86d,3W3PvnGP2r4-Scene-011.mp4,99,0.235158
23e9d28b6d38c3481072a5eaf17a1d20,3q3CZaZLMiY-Scene-385.mp4,111,0.289803
83e6615e9eac646458fd3cd3e282171a,3cw2NVBm9WA-Scene-015.mp4,110,0.096233
609f5d12407916c0d2ec94880ece2138,3jJnVyAhyIM-Scene-094.mp4,116,0.165157
9d94ce00764f385dd71ffd263ccb9fd2,3Smz5pevbI4-Scene-066.mp4,94,0.213432
db89b72eefa06891b1ac0c6554714f97,3EB6XN8KrzI-Scene-147.mp4,112,0.255231
7e3b27096d6fe749b9ea5f2e70cf45cd,3iUTkJy84EY-Scene-194.mp4,91,0.211827
38c48a5e92e9c9d1f0756f955e782e82,3E6ctN22V7k-Scene-059.mp4,108,0.263281
80a5629b0cd837932642dadc30784849,3P1vSUbet40-Scene-0864.mp4,106,0.259069
