categories,language,url
['Science & Technology'],Unknown,https://www.youtube.com/watch?v=71atu4jArcM
['News & Politics'],en,https://www.youtube.com/watch?v=99Q9jtSHb1k
['News & Politics'],en,https://www.youtube.com/watch?v=7ERVaI-h0c4
['Nonprofits & Activism'],Unknown,https://www.youtube.com/watch?v=9la8Z0ibzCE
['People & Blogs'],Unknown,https://www.youtube.com/watch?v=6iHltKEcGcw
['Science & Technology'],en,https://www.youtube.com/watch?v=7cekmgI1jWA
['Nonprofits & Activism'],Unknown,https://www.youtube.com/watch?v=8r-Xe_mQQF0
['Music'],Unknown,https://www.youtube.com/watch?v=6vavfimsPc8
['Entertainment'],en,https://www.youtube.com/watch?v=7eE7hNbtims
['Nonprofits & Activism'],en,https://www.youtube.com/watch?v=8ONUexTmLtI
['Science & Technology'],en,https://www.youtube.com/watch?v=7BRQmPIF790
['Education'],en,https://www.youtube.com/watch?v=7_s2pYK9ArM
['Nonprofits & Activism'],en,https://www.youtube.com/watch?v=753nkCAFc8c
['Education'],en,https://www.youtube.com/watch?v=8ucUzQlGqEY
['People & Blogs'],en,https://www.youtube.com/watch?v=2p0J47h1Nnk
['Education'],en,https://www.youtube.com/watch?v=93q6IQniw3c
['News & Politics'],hi,https://www.youtube.com/watch?v=8jC7jhrVaJI
['Science & Technology'],en,https://www.youtube.com/watch?v=6iUv8X3azD4
['News & Politics'],en,https://www.youtube.com/watch?v=9HICoBUmlCU
['Science & Technology'],en,https://www.youtube.com/watch?v=6kc9NbXF3c4
['Education'],en,https://www.youtube.com/watch?v=7gvdbwA1r-I
['Howto & Style'],en,https://www.youtube.com/watch?v=841EZb3GOs8
['News & Politics'],pa,https://www.youtube.com/watch?v=EAO8FEVMBi0
['Education'],en,https://www.youtube.com/watch?v=E0rsuQGBkuI
['Education'],en,https://www.youtube.com/watch?v=zSqzpjgXII8
['Education'],en,https://www.youtube.com/watch?v=E2nHMSjl12Q
['Education'],en,https://www.youtube.com/watch?v=zVb-a-6qNQg
['News & Politics'],en,https://www.youtube.com/watch?v=H6soH7rZ30E
['Science & Technology'],en,https://www.youtube.com/watch?v=zmvwSf_5TlU
['Howto & Style'],Unknown,https://www.youtube.com/watch?v=EkHlFE80TLA
['Gaming'],en,https://www.youtube.com/watch?v=Dvu44eo-NmA
['Entertainment'],en,https://www.youtube.com/watch?v=FJECaOJkh10
['People & Blogs'],en,https://www.youtube.com/watch?v=z_2VeZExi78
['Science & Technology'],Unknown,https://www.youtube.com/watch?v=GEqy3hDtkZM
['People & Blogs'],en,https://www.youtube.com/watch?v=F31gr9HGaMM
['Education'],Unknown,https://www.youtube.com/watch?v=zmjutPC-7BM
['News & Politics'],en,https://www.youtube.com/watch?v=FsNJ70jpGbM
['Education'],en,https://www.youtube.com/watch?v=EkgDI94lD7k
['Sports'],Unknown,https://www.youtube.com/watch?v=DzGBBg7TwTI
['Howto & Style'],en,https://www.youtube.com/watch?v=DkXOf4MjMzo
['Education'],en,https://www.youtube.com/watch?v=G4gLevdkLgw
['News & Politics'],en,https://www.youtube.com/watch?v=GzM3vcDHp2w
['Education'],en,https://www.youtube.com/watch?v=FpENbe3QRrE
['Science & Technology'],en,https://www.youtube.com/watch?v=EPQVA54G0-w
['News & Politics'],Unknown,https://www.youtube.com/watch?v=Ec8WHvdWXe0
['Science & Technology'],en,https://www.youtube.com/watch?v=EEN_sNXMyko
['People & Blogs'],en,https://www.youtube.com/watch?v=zGmwa3_quuo
['News & Politics'],en,https://www.youtube.com/watch?v=EF5QTEFerMY
['People & Blogs'],Unknown,https://www.youtube.com/watch?v=E_7Ux85uwmw
['News & Politics'],en,https://www.youtube.com/watch?v=GeXsf3B5qc4
['News & Politics'],Unknown,https://www.youtube.com/watch?v=G9g-qdnun9c
['Education'],en,https://www.youtube.com/watch?v=Gtw14sQic7c
['Sports'],en,https://www.youtube.com/watch?v=GQHcarZdanY
['News & Politics'],en,https://www.youtube.com/watch?v=GhnGycK5pyw
['Education'],en,https://www.youtube.com/watch?v=F4ILqClESsY
['Science & Technology'],en,https://www.youtube.com/watch?v=Erlt0Q6TOM8
['News & Politics'],en,https://www.youtube.com/watch?v=zl4n0wAj83g
['Gaming'],en,https://www.youtube.com/watch?v=F_bNV9h2XXk
